"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"The value is not within the specified range.","Il valore non è compreso nell'intervallo specificato."
"Please use letters only (a-z or A-Z) in this field.","Usa solo lettere (a-z o A-Z) in questo campo."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Utilizza solo lettere (a-z o A-Z), numeri (0-9) o underscore (_) in questo campo, e il primo carattere deve essere una lettera."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Utilizza solo lettere (a-z o A-Z) o numeri (0-9) in questo campo. Nessuno spazio o altri caratteri sono consentiti."
"Please enter a valid date.","Inserisci una data valida."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Inserisci una URL key valida (Es: ""pagina-esempio"", ""pagina-esempio.html"" o ""altrolivello/pagina-esempio"")."
"Please enter a valid zip code.","Inserisci un codice cap valido."
"Please select State/Province.","Seleziona la provincia."
"Please enter issue number or start date for switch/solo card type.","Inserisci il numero di emissione o data di inizio per tipo di carta switch/solo."
"This is a required field.","Questo è un campo obbligatorio."
"Please enter positive number in this field.","Inserisci un numero positivo in questo campo."
"Please enter a valid value, ex: 10,20,30","Inserisci un valore valido, es: 10,20,30"
"Attention","Attenzione"
"OK","OK"
"Close","Chiudi"
"Ok","Ok"
"Log JS Errors to Session Storage","Log errori JS nello Storage Session"
"Log JS Errors to Session Storage Key","Log Errori JS nella Session Storage Key"
"ui/grid/filters/elements/select","ui/grid/filters/elements/select"
"Action","Azione"
"CSV","CSV"
"Excel XML","Excel XML"
